country,year,pop,continent,lifeExp,gdpPercap
Madagascar,1952,4762912,Africa,36.681,1443.011715
Madagascar,1957,5181679,Africa,38.865,1589.20275
Madagascar,1962,5703324,Africa,40.848,1643.38711
Madagascar,1967,6334556,Africa,42.881,1634.047282
Madagascar,1972,7082430,Africa,44.851,1748.562982
Madagascar,1977,8007166,Africa,46.881,1544.228586
Madagascar,1982,9171477,Africa,48.969,1302.878658
Madagascar,1987,10568642,Africa,49.35,1155.441948
Madagascar,1992,12210395,Africa,52.214,1040.67619
Madagascar,1997,14165114,Africa,54.978,986.2958956
Madagascar,2002,16473477,Africa,57.286,894.6370822
Madagascar,2007,19167654,Africa,59.443,1044.770126
Malawi,1952,2917802,Africa,36.256,369.1650802
Malawi,1957,3221238,Africa,37.207,416.3698064
Malawi,1962,3628608,Africa,38.41,427.9010856
Malawi,1967,4147252,Africa,39.487,495.5147806
Malawi,1972,4730997,Africa,41.766,584.6219709
Malawi,1977,5637246,Africa,43.767,663.2236766
Malawi,1982,6502825,Africa,45.642,632.8039209
Malawi,1987,7824747,Africa,47.457,635.5173634
Malawi,1992,10014249,Africa,49.42,563.2000145
Malawi,1997,10419991,Africa,47.495,692.2758103
Malawi,2002,11824495,Africa,45.009,665.4231186
Malawi,2007,13327079,Africa,48.303,759.3499101
Malaysia,1952,6748378,Asia,48.463,1831.132894
Malaysia,1957,7739235,Asia,52.102,1810.066992
Malaysia,1962,8906385,Asia,55.737,2036.884944
Malaysia,1967,10154878,Asia,59.371,2277.742396
Malaysia,1972,11441462,Asia,63.01,2849.09478
Malaysia,1977,12845381,Asia,65.256,3827.921571
Malaysia,1982,14441916,Asia,68,4920.355951
Malaysia,1987,16331785,Asia,69.5,5249.802653
Malaysia,1992,18319502,Asia,70.693,7277.912802
Malaysia,1997,20476091,Asia,71.938,10132.90964
Malaysia,2002,22662365,Asia,73.044,10206.97794
Malaysia,2007,24821286,Asia,74.241,12451.6558
Mali,1952,3838168,Africa,33.685,452.3369807
Mali,1957,4241884,Africa,35.307,490.3821867
Mali,1962,4690372,Africa,36.936,496.1743428
Mali,1967,5212416,Africa,38.487,545.0098873
Mali,1972,5828158,Africa,39.977,581.3688761
Mali,1977,6491649,Africa,41.714,686.3952693
Mali,1982,6998256,Africa,43.916,618.0140641
Mali,1987,7634008,Africa,46.364,684.1715576
Mali,1992,8416215,Africa,48.388,739.014375
Mali,1997,9384984,Africa,49.903,790.2579846
Mali,2002,10580176,Africa,51.818,951.4097518
Mali,2007,12031795,Africa,54.467,1042.581557
Mauritania,1952,1022556,Africa,40.543,743.1159097
Mauritania,1957,1076852,Africa,42.338,846.1202613
Mauritania,1962,1146757,Africa,44.248,1055.896036
Mauritania,1967,1230542,Africa,46.289,1421.145193
Mauritania,1972,1332786,Africa,48.437,1586.851781
Mauritania,1977,1456688,Africa,50.852,1497.492223
Mauritania,1982,1622136,Africa,53.599,1481.150189
Mauritania,1987,1841240,Africa,56.145,1421.603576
Mauritania,1992,2119465,Africa,58.333,1361.369784
Mauritania,1997,2444741,Africa,60.43,1483.136136
Mauritania,2002,2828858,Africa,62.247,1579.019543
Mauritania,2007,3270065,Africa,64.164,1803.151496
Mauritius,1952,516556,Africa,50.986,1967.955707
Mauritius,1957,609816,Africa,58.089,2034.037981
Mauritius,1962,701016,Africa,60.246,2529.067487
Mauritius,1967,789309,Africa,61.557,2475.387562
Mauritius,1972,851334,Africa,62.944,2575.484158
Mauritius,1977,913025,Africa,64.93,3710.982963
Mauritius,1982,992040,Africa,66.711,3688.037739
Mauritius,1987,1042663,Africa,68.74,4783.586903
Mauritius,1992,1096202,Africa,69.745,6058.253846
Mauritius,1997,1149818,Africa,70.736,7425.705295
Mauritius,2002,1200206,Africa,71.954,9021.815894
Mauritius,2007,1250882,Africa,72.801,10956.99112
Mexico,1952,30144317,Americas,50.789,3478.125529
Mexico,1957,35015548,Americas,55.19,4131.546641
Mexico,1962,41121485,Americas,58.299,4581.609385
Mexico,1967,47995559,Americas,60.11,5754.733883
Mexico,1972,55984294,Americas,62.361,6809.40669
Mexico,1977,63759976,Americas,65.032,7674.929108
Mexico,1982,71640904,Americas,67.405,9611.147541
Mexico,1987,80122492,Americas,69.498,8688.156003
Mexico,1992,88111030,Americas,71.455,9472.384295
Mexico,1997,95895146,Americas,73.67,9767.29753
Mexico,2002,102479927,Americas,74.902,10742.44053
Mexico,2007,108700891,Americas,76.195,11977.57496
Mongolia,1952,800663,Asia,42.244,786.5668575
Mongolia,1957,882134,Asia,45.248,912.6626085
Mongolia,1962,1010280,Asia,48.251,1056.353958
Mongolia,1967,1149500,Asia,51.253,1226.04113
Mongolia,1972,1320500,Asia,53.754,1421.741975
Mongolia,1977,1528e3,Asia,55.491,1647.511665
Mongolia,1982,1756032,Asia,57.489,2000.603139
Mongolia,1987,2015133,Asia,60.222,2338.008304
Mongolia,1992,2312802,Asia,61.271,1785.402016
Mongolia,1997,2494803,Asia,63.625,1902.2521
Mongolia,2002,2674234,Asia,65.033,2140.739323
Mongolia,2007,2874127,Asia,66.803,3095.772271
Montenegro,1952,413834,Europe,59.164,2647.585601
Montenegro,1957,442829,Europe,61.448,3682.259903
Montenegro,1962,474528,Europe,63.728,4649.593785
Montenegro,1967,501035,Europe,67.178,5907.850937
Montenegro,1972,527678,Europe,70.636,7778.414017
Montenegro,1977,560073,Europe,73.066,9595.929905
Montenegro,1982,562548,Europe,74.101,11222.58762
Montenegro,1987,569473,Europe,74.865,11732.51017
Montenegro,1992,621621,Europe,75.435,7003.339037
Montenegro,1997,692651,Europe,75.445,6465.613349
Montenegro,2002,720230,Europe,73.981,6557.194282
Montenegro,2007,684736,Europe,74.543,9253.896111
Morocco,1952,9939217,Africa,42.873,1688.20357
Morocco,1957,11406350,Africa,45.423,1642.002314
Morocco,1962,13056604,Africa,47.924,1566.353493
Morocco,1967,14770296,Africa,50.335,1711.04477
Morocco,1972,16660670,Africa,52.862,1930.194975
Morocco,1977,18396941,Africa,55.73,2370.619976
Morocco,1982,20198730,Africa,59.65,2702.620356
Morocco,1987,22987397,Africa,62.677,2755.046991
Morocco,1992,25798239,Africa,65.393,2948.047252
Morocco,1997,28529501,Africa,67.66,2982.101858
Morocco,2002,31167783,Africa,69.615,3258.495584
Morocco,2007,33757175,Africa,71.164,3820.17523
Mozambique,1952,6446316,Africa,31.286,468.5260381
Mozambique,1957,7038035,Africa,33.779,495.5868333
Mozambique,1962,7788944,Africa,36.161,556.6863539
Mozambique,1967,8680909,Africa,38.113,566.6691539
Mozambique,1972,9809596,Africa,40.328,724.9178037
Mozambique,1977,11127868,Africa,42.495,502.3197334
Mozambique,1982,12587223,Africa,42.795,462.2114149
Mozambique,1987,12891952,Africa,42.861,389.8761846
Mozambique,1992,13160731,Africa,44.284,410.8968239
Mozambique,1997,16603334,Africa,46.344,472.3460771
Mozambique,2002,18473780,Africa,44.026,633.6179466
Mozambique,2007,19951656,Africa,42.082,823.6856205
Myanmar,1952,20092996,Asia,36.319,331
Myanmar,1957,21731844,Asia,41.905,350
Myanmar,1962,23634436,Asia,45.108,388
Myanmar,1967,25870271,Asia,49.379,349
Myanmar,1972,28466390,Asia,53.07,357
Myanmar,1977,31528087,Asia,56.059,371
Myanmar,1982,34680442,Asia,58.056,424
Myanmar,1987,38028578,Asia,58.339,385
Myanmar,1992,40546538,Asia,59.32,347
Myanmar,1997,43247867,Asia,60.328,415
Myanmar,2002,45598081,Asia,59.908,611
Myanmar,2007,47761980,Asia,62.069,944
Namibia,1952,485831,Africa,41.725,2423.780443
Namibia,1957,548080,Africa,45.226,2621.448058
Namibia,1962,621392,Africa,48.386,3173.215595
Namibia,1967,706640,Africa,51.159,3793.694753
Namibia,1972,821782,Africa,53.867,3746.080948
Namibia,1977,977026,Africa,56.437,3876.485958
Namibia,1982,1099010,Africa,58.968,4191.100511
Namibia,1987,1278184,Africa,60.835,3693.731337
Namibia,1992,1554253,Africa,61.999,3804.537999
Namibia,1997,1774766,Africa,58.909,3899.52426
Namibia,2002,1972153,Africa,51.479,4072.324751
Namibia,2007,2055080,Africa,52.906,4811.060429
Nepal,1952,9182536,Asia,36.157,545.8657229
Nepal,1957,9682338,Asia,37.686,597.9363558
Nepal,1962,10332057,Asia,39.393,652.3968593
Nepal,1967,11261690,Asia,41.472,676.4422254
Nepal,1972,12412593,Asia,43.971,674.7881296
Nepal,1977,13933198,Asia,46.748,694.1124398
Nepal,1982,15796314,Asia,49.594,718.3730947
Nepal,1987,17917180,Asia,52.537,775.6324501
Nepal,1992,20326209,Asia,55.727,897.7403604
Nepal,1997,23001113,Asia,59.426,1010.892138
Nepal,2002,25873917,Asia,61.34,1057.206311
Nepal,2007,28901790,Asia,63.785,1091.359778
Netherlands,1952,10381988,Europe,72.13,8941.571858
Netherlands,1957,11026383,Europe,72.99,11276.19344
Netherlands,1962,11805689,Europe,73.23,12790.84956
Netherlands,1967,12596822,Europe,73.82,15363.25136
Netherlands,1972,13329874,Europe,73.75,18794.74567
Netherlands,1977,13852989,Europe,75.24,21209.0592
Netherlands,1982,14310401,Europe,76.05,21399.46046
Netherlands,1987,14665278,Europe,76.83,23651.32361
Netherlands,1992,15174244,Europe,77.42,26790.94961
Netherlands,1997,15604464,Europe,78.03,30246.13063
Netherlands,2002,16122830,Europe,78.53,33724.75778
Netherlands,2007,16570613,Europe,79.762,36797.93332
New Zealand,1952,1994794,Oceania,69.39,10556.57566
New Zealand,1957,2229407,Oceania,70.26,12247.39532
New Zealand,1962,2488550,Oceania,71.24,13175.678
New Zealand,1967,2728150,Oceania,71.52,14463.91893
New Zealand,1972,2929100,Oceania,71.89,16046.03728
New Zealand,1977,3164900,Oceania,72.22,16233.7177
New Zealand,1982,3210650,Oceania,73.84,17632.4104
New Zealand,1987,3317166,Oceania,74.32,19007.19129
New Zealand,1992,3437674,Oceania,76.33,18363.32494
New Zealand,1997,3676187,Oceania,77.55,21050.41377
New Zealand,2002,3908037,Oceania,79.11,23189.80135
New Zealand,2007,4115771,Oceania,80.204,25185.00911
Nicaragua,1952,1165790,Americas,42.314,3112.363948
Nicaragua,1957,1358828,Americas,45.432,3457.415947
Nicaragua,1962,1590597,Americas,48.632,3634.364406
Nicaragua,1967,1865490,Americas,51.884,4643.393534
Nicaragua,1972,2182908,Americas,55.151,4688.593267
Nicaragua,1977,2554598,Americas,57.47,5486.371089
Nicaragua,1982,2979423,Americas,59.298,3470.338156
Nicaragua,1987,3344353,Americas,62.008,2955.984375
Nicaragua,1992,4017939,Americas,65.843,2170.151724
Nicaragua,1997,4609572,Americas,68.426,2253.023004
Nicaragua,2002,5146848,Americas,70.836,2474.548819
Nicaragua,2007,5675356,Americas,72.899,2749.320965
Niger,1952,3379468,Africa,37.444,761.879376
Niger,1957,3692184,Africa,38.598,835.5234025
Niger,1962,4076008,Africa,39.487,997.7661127
Niger,1967,4534062,Africa,40.118,1054.384891
Niger,1972,5060262,Africa,40.546,954.2092363
Niger,1977,5682086,Africa,41.291,808.8970728
Niger,1982,6437188,Africa,42.598,909.7221354
Niger,1987,7332638,Africa,44.555,668.3000228
Niger,1992,8392818,Africa,47.391,581.182725
Niger,1997,9666252,Africa,51.313,580.3052092
Niger,2002,11140655,Africa,54.496,601.0745012
Niger,2007,12894865,Africa,56.867,619.6768924
Nigeria,1952,33119096,Africa,36.324,1077.281856
Nigeria,1957,37173340,Africa,37.802,1100.592563
Nigeria,1962,41871351,Africa,39.36,1150.927478
Nigeria,1967,47287752,Africa,41.04,1014.514104
Nigeria,1972,53740085,Africa,42.821,1698.388838
Nigeria,1977,62209173,Africa,44.514,1981.951806
Nigeria,1982,73039376,Africa,45.826,1576.97375
Nigeria,1987,81551520,Africa,46.886,1385.029563
Nigeria,1992,93364244,Africa,47.472,1619.848217
Nigeria,1997,106207839,Africa,47.464,1624.941275
Nigeria,2002,119901274,Africa,46.608,1615.286395
Nigeria,2007,135031164,Africa,46.859,2013.977305
Norway,1952,3327728,Europe,72.67,10095.42172
Norway,1957,3491938,Europe,73.44,11653.97304
Norway,1962,3638919,Europe,73.47,13450.40151
Norway,1967,3786019,Europe,74.08,16361.87647
Norway,1972,3933004,Europe,74.34,18965.05551
Norway,1977,4043205,Europe,75.37,23311.34939
Norway,1982,4114787,Europe,75.97,26298.63531
Norway,1987,4186147,Europe,75.89,31540.9748
Norway,1992,4286357,Europe,77.32,33965.66115
Norway,1997,4405672,Europe,78.32,41283.16433
Norway,2002,4535591,Europe,79.05,44683.97525
Norway,2007,4627926,Europe,80.196,49357.19017
